gene_id,POC-201-TP1,POC-201-TP2,POC-219-TP1,POC-219-TP2,POC-219-TP3,POC-219-TP4,POC-222-TP1,POC-222-TP3,POC-222-TP4,POC-255-TP1,POC-255-TP2,POC-255-TP3,POC-259-TP1,POC-259-TP2,POC-40-TP1,POC-40-TP2,POC-40-TP3,POC-40-TP4,POC-42-TP2,POC-42-TP4,POC-52-TP1,POC-52-TP2,POC-52-TP3,POC-52-TP4,POC-53-TP1,POC-53-TP2,POC-53-TP3,POC-53-TP4,POC-57-TP1,POC-57-TP2,POC-57-TP3,POC-57-TP4
gene-Pocillopora_meandrina_HIv1___RNAseq.g12093.t1,114,163,183,76,0,129,141,188,73,173,139,144,53,141,69,57,96,80,103,143,15,110,159,121,87,53,192,107,58,28,141,169
gene-Pocillopora_meandrina_HIv1___RNAseq.g14003.t1,55,101,96,38,8,43,99,264,68,49,66,65,80,154,13,26,47,17,23,7,5,31,80,134,47,19,133,19,34,7,84,36
gene-Pocillopora_meandrina_HIv1___RNAseq.g14123.t1,111,191,168,139,40,89,266,204,53,168,88,70,167,216,119,84,111,139,163,84,0,110,123,263,111,85,104,91,149,101,196,185
gene-Pocillopora_meandrina_HIv1___RNAseq.g1086.t1,2363,2490,3409,1147,321,2948,736,3006,1078,837,2358,2819,567,1288,783,1122,2287,971,759,475,161,1456,1296,6726,1240,649,2401,1301,2812,1485,5459,3400
gene-Pocillopora_meandrina_HIv1___RNAseq.g1181.t1,290,420,494,275,27,185,221,554,258,116,218,184,303,358,56,104,226,82,140,29,15,104,247,406,271,219,409,145,189,132,461,211
gene-Pocillopora_meandrina_HIv1___RNAseq.g10507.t1,0,36,61,24,0,0,73,161,9,16,11,42,44,36,44,19,2,0,18,6,0,10,7,23,0,0,18,0,11,0,11,0
gene-Pocillopora_meandrina_HIv1___RNAseq.g25521.t1,177,180,165,158,15,57,181,410,41,83,130,52,151,314,80,65,241,62,168,16,8,73,106,336,261,109,399,28,251,29,428,59
gene-Pocillopora_meandrina_HIv1___RNAseq.g30068.t1,168,86,137,114,57,171,334,152,125,296,134,99,133,137,129,121,186,328,225,341,0,141,85,137,146,146,158,273,262,132,96,186
gene-Pocillopora_meandrina_HIv1___RNAseq.g30117.t1,9,34,83,39,14,61,40,61,17,27,20,65,39,66,9,20,6,22,36,57,12,14,8,47,26,0,44,50,21,13,14,66
gene-Pocillopora_meandrina_HIv1___RNAseq.g30170.t1,5402,3769,4341,2715,771,2786,4637,14675,4140,2863,3414,2559,2876,4850,2224,2962,5941,3674,3105,2735,197,3687,5568,8720,3650,2553,6762,4059,4531,1258,7660,5461
gene-Pocillopora_meandrina_HIv1___RNAseq.g689.t1,109,75,124,44,0,9,56,136,68,18,74,0,113,101,17,17,72,24,41,14,0,18,80,132,101,72,125,15,73,31,135,71
gene-Pocillopora_meandrina_HIv1___RNAseq.g29777.t1,32,41,17,3,0,9,12,12,2,14,35,9,10,13,15,9,14,3,39,6,0,30,10,10,54,57,55,36,22,22,9,29
gene-Pocillopora_meandrina_HIv1___RNAseq.g29832.t1,3167,3773,3970,3116,952,2105,2241,8183,2704,1847,3409,2231,2581,4006,2338,2415,3062,1872,2087,748,503,2408,4192,4292,3266,2915,3978,2070,3735,1665,4713,2463
gene-Pocillopora_meandrina_HIv1___TS.g30034.t1,3,88,89,70,21,6,29,115,29,23,50,21,54,72,19,25,0,29,19,23,0,31,78,105,44,39,55,28,18,8,49,47
gene-Pocillopora_meandrina_HIv1___RNAseq.g7366.t1,0,4,6,0,0,12,19,0,0,14,12,0,0,9,0,8,8,4,17,30,0,19,0,3,16,17,12,16,0,7,0,10
gene-Pocillopora_meandrina_HIv1___RNAseq.g15311.t1,0,0,0,0,0,6,0,10,11,0,0,0,11,6,9,0,20,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
gene-Pocillopora_meandrina_HIv1___RNAseq.g9919.t1,0,0,23,10,19,106,3,11,3,7,4,26,2,6,5,1,3,2,0,0,5,40,29,72,33,8,17,22,18,28,31,39
